id,school_inep_fk
1208,28001702
1208,32059930
1209,28001702
1210,28001702
1213,28014987
1214,28001702
1214,28014987
1215,28001702
1215,28014987
1216,28001702
1216,28014987
1217,28001702
1217,28014987
1218,28001702
1218,28014987
1219,28001702
1219,28014987
1220,28001702
1220,28014987
1221,28001702
1221,28014987
1222,28014987
1223,28014987
1224,28014987
1225,28014987
1228,28001826
1228,28014987
1228,28027299
1229,28001826
1229,28027299
1230,28001826
1230,28014987
1230,28027299
1231,28001826
1231,28014987
1231,28027299
1232,28001826
1232,28014987
1233,28001826
1234,28001826
1234,32059833
1235,28001826
1235,32059833
1236,28001826
1236,32059833
1237,28001826
1238,28001826
1238,28048407
1238,32059833
1239,28001826
1239,28048407
1239,32059833
1240,28001826
1240,28048407
1240,32059833
1241,28001826
1241,28048407
1242,28001826
1242,28048407
1243,28001826
1243,28016211
1244,28001826
1244,28016211
1245,28001826
1245,28016211
1253,28001826
1254,28001826
1254,32059930
1255,28001826
1256,28001826
1257,28001826
1258,28001826
1258,32059930
1259,28001826
1259,32059930
1263,28014987
1264,32059930
1266,32059930
1270,28014987
1271,28031199
1272,28014987
1272,28031199
1273,28014987
1273,28031199
1274,28014987
1274,28031199
1275,28031199
1276,28031199
1276,32059930
1277,28031199
1278,28016211
1279,28027299
1279,32059930
1280,32059930
1281,32059930
1282,32059930
1283,28027299
1283,32059930
1284,28027299
1284,32059930
1285,28027299
1285,32059930
1286,28027299
1286,32059930
1287,32059930
1290,32059752
1295,28015304
1296,28015304
1315,28015177
1316,28002156
1317,28002156
1318,28014987
1319,28002156
1320,28002156
1320,28014987
1321,28002156
1321,28014987
1322,28002156
1322,28014987
1323,28002156
1323,28015037
1324,28002156
1324,28015037
1325,28015037
1327,28015070
1328,32059930
1333,28015037
1333,28037740
1336,32060491
1337,32060491
1338,32060491
1342,32060700
1343,32060700
1344,32060700
1345,28015169
1345,32060700
1346,28015169
1347,28015169
1347,32060483
1348,28015169
1349,28015169
1350,28015169
1354,28014987
1360,32060483
1364,32060483
1365,32060483
1366,32060483
1367,32060483
1368,32060483
1369,32060483
1370,32060483
1371,32060483
1372,32060483
1373,28014987
1373,32060483
1374,28014987
1374,32060483
1375,28014987
1375,32060483
1376,32060483
1377,28014987
1377,32060483
1378,28014987
1378,32060483
1379,28014987
1379,32060483
1380,28014987
1380,32060483
1381,28014987
1382,28014987
1384,28001737
1385,28001737
1385,28014987
1386,28001737
1386,28014987
1387,28014987
1388,28014987
1389,28014987
1390,28014987
1391,28014987
1392,28002024
1392,28014987
1393,28002024
1394,28002024
1396,28001982
1397,28001982
1402,28001842
1405,28001842
1406,28001842
1411,28002156
1419,28002172
1419,32059930
1420,32059930
1421,32059930
1422,32059930
1423,32059930
1424,28002156
1424,32059930
1425,28002156
1425,32059930
1426,28002156
1426,32059930
1427,28002156
1428,28002156
1432,28015037
1432,32065744
1433,28015037
1433,32065744
1434,28015037
1434,32065744
1436,28015215
1437,28015215
1447,25013645
1448,25013645
1449,25013645
1450,25013645
1451,25013645
1452,25013645
1462,28001826
1467,28038231
1468,28038231
1470,28001842
1472,28014987
1473,28001826
1473,28014987
1488,25013297
1489,25013297
1490,28001826
1491,28001826
1492,28001826
1493,25013335
1493,28001826
1494,25013335
1494,28001826
1495,28001826
1496,28001826
1497,28001826
1498,28001826
1499,25013297
1499,28001826
1500,25013297
1500,28001826
1501,28001826
1502,28001826
1503,25013645
1503,28001826
1504,25013645
1504,28001826
1504,32059752
1505,28001826
1505,32059752
1506,25013297
1506,28001826
1506,32059752
1507,25013297
1507,28001826
1507,32059752
1508,32059752
1509,25013190
1509,32059752
1510,25013190
1516,25013360
1517,25013360
1519,25013360
1524,25013297
1526,25013491
1527,25013491
1530,25013297
1531,25013297
1533,25013297
1536,28001761
1537,28001761
1538,28001761
1539,25013645
1539,28001761
1540,25013360
1540,28001761
1541,25013360
1541,28001761
1541,32060777
1542,25013530
1542,28001761
1544,25013530
1545,25013645
1545,28001761
1547,25013645
1548,25013645
1550,25013645
1551,25013360
1553,25013386
1554,25013386
1555,28001702
1556,25013297
1557,25013645
1557,28001702
1558,28001702
1559,28001702
1560,28001702
1561,28001702
1562,28001702
1563,28001702
1564,28001702
1573,28038231
1574,28038231
1576,32060777
1585,28002156
1586,28002156
1587,28002156
1587,32060777
1588,28002156
1588,32060777
1589,28002156
1590,28002156
1591,28002156
1592,28002156
1595,28001761
1596,28001761
1601,32060483
1605,32060700
1624,28001761
1625,28001702
1626,28001702
1627,28001761
1628,28001826
1630,28001826
1631,28001826
1632,28001826
1633,28001826
1634,28001761
1635,28001761
1636,28001761
1638,32065752
1640,28001982
1645,28002172
1646,28037740
1647,28037740
1649,32065752
1650,28037740
1650,32065752
1651,32065752
1660,32083327
1661,32083327
1662,32083327
1663,32083327
1664,32083327
1665,32083327
1666,32083327
1673,32083327
1674,32083327
1675,32083327
1676,32083327
1677,32083327
1682,32060483
1683,32060483
1684,32060483
1732,32065752
1733,32065752
1744,32081103
1746,32081103
1747,32081103
1751,32059930
1757,32060688
1758,32060688
1759,32060688
1760,32060688
1762,32065752
1764,32060483
1765,32060483
1767,32060777
1768,32060777
1774,32059639
1775,32059639
1776,32059639
1782,32059833
1783,32059833
1863,33014639
1864,33014639
1909,33167397
1920,33027862
1945,33167397
1955,33167397
2001,33138222
2029,33117918
2092,33096597
2093,33096597
2094,33096597
2095,33096597
2096,33096597
2102,33013608
2103,33013608
2104,33013608
2105,33013608
2113,33181489
2237,33181489
2238,33181489
2239,33181489
2240,33181489
2241,33181489
2242,33181489
2243,33181489
2244,33181489
2245,33181489
2246,33181489
2247,33181489
2248,33181489
2249,33181489
2255,33181489
2257,33139725
2258,33139725
2259,33139725
2260,33139725
2261,33139725
2262,33139725
2263,33139725
2264,33139725
2265,33139725
2266,33139725
2271,33139725
2273,33139725
2274,33139725
2275,33139725
2276,33139725
2287,33027889
2288,33027889
2294,33013756
2295,33013756
2296,33013756
2297,33013756
2298,33013756
2299,33013756
2475,33013721
2483,33014680
2484,33014680
2485,33014680
2489,33186863
2490,33186863
2491,33186863
2492,33186863
2494,33186863
2502,33014582
2503,33014582
2505,33014582
2508,33014582
2512,33139725
2513,33139725
2515,33013748
2534,33013748
2535,33013748
2536,33013748
2537,33013748
2538,33013748
2539,33013748
2540,33013748
2541,33013748
2542,33013748
2546,33013748
2547,33013748
2551,33013756
2614,33014663
2615,33014663
2616,33014663
2617,33014663
2618,33014663
2633,33013721
2634,33013721
2648,33191450
